province_name,region,fiscal_year,fiscal_month,ym,so_don,tong_sl,tong_dt,so_dai_ly,dt_tb_dai_ly
Thái Nguyên,Miền Bắc,2026,1,2026-01,7,503.0,802596361.0,5,160519272.0
Thái Nguyên,Miền Bắc,2026,2,2026-02,4,246.0,354631949.0,3,118210650.0
Thân Nhân Trung - TT Bích Động - Việt Yên - Bắc Giang,Miền Bắc,2025,2,2025-02,1,21.0,25750000.0,1,25750000.0
Thân Nhân Trung - TT Bích Động - Việt Yên - Bắc Giang,Miền Bắc,2025,3,2025-03,1,30.0,36000000.0,1,36000000.0
Thủ Dầu Một,Miền Bắc,2025,2,2025-02,1,2.0,4611111.0,1,4611111.0
Thủ Dầu Một,Miền Bắc,2025,3,2025-03,1,7.0,16138889.0,1,16138889.0
Thừa Thiên Huế,Miền Trung,2025,3,2025-03,1,103.0,145317087.0,1,145317087.0
Thừa Thiên Huế,Miền Trung,2026,1,2026-01,1,50.0,83015809.0,1,83015809.0
Thừa Thiên Huế,Miền Trung,2026,2,2026-02,1,39.0,102683313.0,1,102683313.0
Tuyên Quang,Miền Bắc,2025,3,2025-03,2,64.0,59932962.0,1,59932962.0
Tuyên Quang,Miền Bắc,2026,1,2026-01,2,44.0,67215254.0,2,33607627.0
Tuyên Quang,Miền Bắc,2026,2,2026-02,2,51.0,72124415.0,2,36062208.0
Tây Bình Cách - Xã Đông Xá - Huyện Đông Hưng - Thái Bình.,Miền Bắc,2025,2,2025-02,1,38.0,42370000.0,1,42370000.0
Tĩnh Thanh Hoá,Miền Bắc,2025,2,2025-02,1,51.0,60307929.0,1,60307929.0
Tỉnh Hòa Bình.,Miền Bắc,2025,3,2025-03,1,1.0,2546296.0,1,2546296.0
Tổ 1 - Phường Mường Thanh - TP Điện Biên Phủ,Miền Bắc,2025,2,2025-02,1,18.0,23312643.0,1,23312643.0
Uông Bí,Miền Bắc,2025,3,2025-03,1,33.0,31677734.0,1,31677734.0
Vinh,Miền Bắc,2025,1,2025-01,1,103.0,185400000.0,1,185400000.0
Vinh,Miền Bắc,2025,2,2025-02,1,34.0,61200000.0,1,61200000.0
Vinh,Miền Bắc,2025,3,2025-03,3,226.0,279290000.0,2,139645000.0
Vinh,Miền Bắc,2026,1,2026-01,2,178.0,283026601.0,1,283026601.0
Vĩnh Phúc,Miền Bắc,2025,2,2025-02,5,115.0,140000000.0,4,35000000.0
Vĩnh Phúc,Miền Bắc,2025,3,2025-03,13,243.0,306668240.0,9,34074249.0
Vĩnh Phúc,Miền Bắc,2026,1,2026-01,2,41.0,66909429.0,1,66909429.0
Vĩnh Phúc,Miền Bắc,2026,2,2026-02,1,27.0,40347030.0,1,40347030.0
Vĩnh Yên,Miền Bắc,2025,2,2025-02,1,20.0,22418078.0,1,22418078.0
Vĩnh Yên,Miền Bắc,2025,3,2025-03,1,16.0,20889981.0,1,20889981.0
phố số 6 - Thị trấn Diêm Điền - Huyện Thái Thụy - Thái Bình.,Miền Bắc,2025,3,2025-03,2,94.0,115376430.0,1,115376430.0
Điện Biên,Miền Bắc,2025,2,2025-02,1,14.0,18640000.0,1,18640000.0
Điện Biên,Miền Bắc,2026,1,2026-01,2,32.0,58527763.0,2,29263882.0
Đà Nẵng,Miền Trung,2025,1,2025-01,2,22.0,26750000.0,2,13375000.0
Đà Nẵng,Miền Trung,2025,2,2025-02,1,18.0,21000000.0,1,21000000.0
Đà Nẵng,Miền Trung,2025,3,2025-03,4,59.0,71500000.0,2,35750000.0
Đà Nẵng,Miền Trung,2026,1,2026-01,6,112.0,183416541.0,4,45854135.0
Đà Nẵng,Miền Trung,2026,2,2026-02,4,75.0,130792755.0,4,32698189.0
Đường Nguyễn Trải - P Ba Đình TP Thanh Hoá,Miền Bắc,2025,3,2025-03,4,204.0,244765884.0,1,244765884.0
Đường Trang Quan - Xã An Đồng - Huyện An Dương - Hải Phòng.,Miền Bắc,2025,2,2025-02,1,82.0,138944444.0,1,138944444.0
Đường Trang Quan - Xã An Đồng - Huyện An Dương - Hải Phòng.,Miền Bắc,2025,3,2025-03,1,76.0,128777777.0,1,128777777.0
Đường Trang Quan - Xã An Đồng - Huyện An Dương - Hải Phòng.,Miền Bắc,2026,2,2026-02,1,50.0,84722222.0,1,84722222.0
Đắk Lắk,Miền Trung,2025,2,2025-02,1,2.0,4983333.0,1,4983333.0
Đồng Hới,Miền Bắc,2025,1,2025-01,1,68.0,105677282.0,1,105677282.0
Đồng Hới,Miền Bắc,2025,3,2025-03,1,68.0,108164789.0,1,108164789.0
Đồng Hới,Miền Bắc,2026,2,2026-02,1,45.0,78322761.0,1,78322761.0
Đồng Nai,Miền Nam,2026,1,2026-01,1,1.0,4527778.0,1,4527778.0
