line_name,group_code,fiscal_year,fiscal_month,ym,tong_sl,tong_dt,so_don
Xe Spaceboy 12,KIDBIKE_2,2025,3,2025-03,182.0,117525001.0,54
Xe Spaceboy 12,KIDBIKE_2,2026,1,2026-01,11.0,9863326.0,7
Xe Spaceboy 12,KIDBIKE_2,2026,2,2026-02,135.0,122532411.0,28
Xe Spaceboy 16,KIDBIKE_2,2025,1,2025-01,39.0,42381666.0,10
Xe Spaceboy 16,KIDBIKE_2,2025,2,2025-02,127.0,93736101.0,36
Xe Spaceboy 16,KIDBIKE_2,2025,3,2025-03,341.0,215294433.0,82
Xe Spaceboy 16,KIDBIKE_2,2026,1,2026-01,57.0,55107734.0,25
Xe Spaceboy 16,KIDBIKE_2,2026,2,2026-02,396.0,375461937.0,96
Xe Super 24,SPORTBIKE_S,2025,1,2025-01,61.0,73200000.0,2
Xe Super 24,SPORTBIKE_S,2025,2,2025-02,66.0,79200000.0,22
Xe Super 24,SPORTBIKE_S,2025,3,2025-03,282.0,466448514.0,74
Xe Super 24,SPORTBIKE_S,2026,1,2026-01,151.0,324579747.0,43
Xe Super 24,SPORTBIKE_S,2026,2,2026-02,107.0,226139261.0,29
Xe Super 26,SPORTBIKE_S,2025,1,2025-01,17.0,24309259.0,5
Xe Super 26,SPORTBIKE_S,2025,2,2025-02,54.0,72409259.0,20
Xe Super 26,SPORTBIKE_S,2025,3,2025-03,197.0,257081018.0,58
Xe Super 26,SPORTBIKE_S,2026,1,2026-01,1.0,2302222.0,1
Xe TE 16-04,KIDBIKE_1,2025,3,2025-03,9.0,9000000.0,3
Xe TE Super 20,KIDBIKE_1,2025,2,2025-02,41.0,49610000.0,11
Xe TE Super 20,KIDBIKE_1,2025,3,2025-03,264.0,379936944.0,58
Xe TE Super 20,KIDBIKE_1,2026,1,2026-01,150.0,263597352.0,42
Xe TE Super 20,KIDBIKE_1,2026,2,2026-02,68.0,109711445.0,27
Xe Touring Blade 700C,SPORTBIKE_A,2025,1,2025-01,8.0,32474326.0,2
Xe Touring Blade 700C,SPORTBIKE_A,2025,2,2025-02,27.0,87011361.0,15
Xe Touring Blade 700C,SPORTBIKE_A,2025,3,2025-03,70.0,226551806.0,29
Xe đạp đôi 26,CITYBIKE_P,2025,2,2025-02,11.0,15400000.0,3
Xe đạp đôi 26,CITYBIKE_P,2025,3,2025-03,21.0,33595833.0,8
