grain,fiscal_year,fiscal_month,fiscal_quarter,ym,group_code,group_name,region,revenue,quantity,n_orders,n_customers,period_label,mom_revenue_pct,yoy_revenue_pct,revenue_share_pct,cum_revenue_ytd,province_name,revenue_pct_province,revenue_pct_region,revenue_pct_national,rank_in_region,product_code,product_name,line_name,color,revenue_2025,quantity_2025,n_orders_2025,revenue_2026,quantity_2026,n_orders_2026,revenue_2026_ann,yoy_revenue_pct_ann,avg_unit_price,revenue_rank,pareto_cum_pct,pareto_class,revenue_share_in_group_pct,bcg_quadrant,customer_code,customer_name,cohort_month,first_order_date,last_order_q1_2025,recency_days,avg_order_value,n_product_groups,trend_slope,groups_bought,churn_label,rfm_r,rfm_f,rfm_m,rfm_segment,churn_prob,churn_split,churn_priority,roc_auc_test,n_orders_q1_2026,revenue_q1_2026,ds,yhat,yhat_lower,yhat_upper,y_actual,split,is_future,mae_test,mape_test_pct
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-12,53605618.0315093,0.0,141157548.81632307,23732776.0,test,0.0,22434397.0,200.76
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-13,21772162.71558313,0.0,105937539.34107874,6603888.0,test,0.0,22434397.0,200.76
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-14,24606250.66316303,0.0,115421858.75150996,0.0,test,0.0,22434397.0,200.76
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-15,2034694328.0800264,1940644318.1707,2120954979.1944668,0.0,test,0.0,22434397.0,200.76
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-16,26033976.01592009,0.0,116809950.3870075,0.0,test,0.0,22434397.0,200.76
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-17,33686513.49171195,0.0,119914605.6808662,0.0,test,0.0,22434397.0,200.76
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-18,32323988.76723485,0.0,121640756.13598819,0.0,test,0.0,22434397.0,200.76
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-19,52488388.84520164,0.0,145029582.71729237,0.0,test,0.0,22434397.0,200.76
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-20,21317771.018536203,0.0,108652260.44492462,0.0,test,0.0,22434397.0,200.76
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-21,24092006.570060994,0.0,110149868.0971972,0.0,test,0.0,22434397.0,200.76
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-22,1992113285.208368,1901894296.6856253,2080578374.849244,0.0,test,0.0,22434397.0,200.76
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-23,25488407.787233815,0.0,110141023.95635179,0.0,test,0.0,22434397.0,200.76
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-24,32979619.502830293,0.0,126494425.25219269,81723057.0,test,0.0,22434397.0,200.76
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-25,31644767.869530875,0.0,120374312.54429822,0.0,test,0.0,22434397.0,200.76
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-26,51383965.93833931,0.0,141955688.26332232,23155000.0,test,0.0,22434397.0,200.76
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-27,20868613.942129377,0.0,107953107.30831592,8420000.0,test,0.0,22434397.0,200.76
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-28,23583716.145781066,0.0,108802575.87624544,0.0,test,0.0,22434397.0,200.76
forecast_daily,2026.0,3.0,,2026-03,SPORTBIKE_S,Thể thao thép,,,,,,T3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-01,1950027666.9121277,1863052026.3669128,2038268625.5914812,0.0,forecast,1.0,22434397.0,200.76
forecast_daily,2026.0,3.0,,2026-03,SPORTBIKE_S,Thể thao thép,,,,,,T3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-02,24949218.400629662,0.0,113414264.66921368,0.0,forecast,1.0,22434397.0,200.76
forecast_daily,2026.0,3.0,,2026-03,SPORTBIKE_S,Thể thao thép,,,,,,T3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-03,32281030.983112585,0.0,125219585.06103265,0.0,forecast,1.0,22434397.0,200.76
forecast_daily,2026.0,3.0,,2026-03,SPORTBIKE_S,Thể thao thép,,,,,,T3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-04,30973566.06584899,0.0,121514696.86309148,0.0,forecast,1.0,22434397.0,200.76
forecast_daily,2026.0,3.0,,2026-03,SPORTBIKE_S,Thể thao thép,,,,,,T3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-05,50292645.072395496,0.0,140749943.77193636,0.0,forecast,1.0,22434397.0,200.76
forecast_daily,2026.0,3.0,,2026-03,SPORTBIKE_S,Thể thao thép,,,,,,T3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-06,20424810.860728677,0.0,109909487.6223787,0.0,forecast,1.0,22434397.0,200.76
forecast_daily,2026.0,3.0,,2026-03,SPORTBIKE_S,Thể thao thép,,,,,,T3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-07,23081513.4253732,0.0,108184810.68267666,0.0,forecast,1.0,22434397.0,200.76
forecast_daily,2026.0,3.0,,2026-03,SPORTBIKE_S,Thể thao thép,,,,,,T3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-08,1908448484.9042046,1816766702.8718724,1993267631.8457327,0.0,forecast,1.0,22434397.0,200.76
forecast_daily,2026.0,3.0,,2026-03,SPORTBIKE_S,Thể thao thép,,,,,,T3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-09,24416547.82392809,0.0,116085990.55402604,0.0,forecast,1.0,22434397.0,200.76
forecast_daily,2026.0,3.0,,2026-03,SPORTBIKE_S,Thể thao thép,,,,,,T3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-10,31590927.84716692,0.0,115281774.3857534,0.0,forecast,1.0,22434397.0,200.76
